dwhitn,Freshly-killed pigeon coloured ruby,001,2,134
dwhitn,Ruby-eyed python,010,1,40
dwhitn,Python for the anti-social,011, 2,120
dwhitn,Tears of the gods,101,3,90dwhitn,Freshly-killed pigeon coloured ruby,001,1,67
dwhitn,Ruby-eyed python,010,1,40
dwhitn,Freshly-killed pigeon coloured ruby,001,1,67
dwhitn,Ruby-eyed python,010,2,80
dwhitn,Python for the anti-social,011, 1,60
dwhitn,Fair trade coffee beans,100,2,40
dwhitn,Tears of the gods,101,2,60
dwhitn,Ruby-eyed python,010,3,120
dwhitn,Freshly-killed pigeon coloured ruby,001,3,201
dwhitn,Python for the anti-social,011, 2,120
dwhitn,Fair trade coffee beans,100,86,1720dwhitn,Python for the anti-social,011, 1,60
dwhitn,Freshly-killed pigeon coloured ruby,001,1,67dwhitn,Python for the anti-social,011, 6,360
